hhidpn,F_4_leisure_07,F_4_leisure_09,F_4_leisure_11,F_4_leisure_13,F_4_leisure_15,F_4_leisure_17,F_4_leisure_19,F_3_leisure_07,F_3_leisure_09,F_3_leisure_11,F_3_leisure_13,F_3_leisure_15,F_3_leisure_17,F_3_leisure_19,F_3_leisuremp_07,F_3_leisuremp_09,F_3_leisuremp_11,F_3_leisuremp_13,F_3_leisuremp_15,F_3_leisuremp_17,F_3_leisuremp_19,agegroup
500837010,12,16,16,16,12,11,12,8,8,8,8,8,7,8,4,8,8,8,8,7,8,0
500849020,5,1,9,5,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,0
500858010,10,1,1,,3,1,11,6,1,1,,3,1,7,2,1,1,,3,1,3,0
500866010,15,12,16,16,16,16,,7,8,8,8,8,8,,7,8,8,8,8,8,,0
500866020,16,16,16,16,16,16,,8,8,8,8,8,8,,8,8,8,8,8,8,,0
500874010,12,16,12,12,16,16,16,8,8,8,8,8,8,8,4,8,4,8,8,8,8,0
500874020,2,6,1,2,2,2,10,2,2,1,2,2,2,6,2,2,1,2,2,2,2,0
500878010,13,4,16,,4,4,4,5,4,8,,4,4,4,5,4,8,,4,4,4,0
500879010,15,16,15,15,15,7,15,7,8,7,7,7,3,7,7,8,7,7,7,3,7,0
500879020,16,16,16,13,16,16,16,8,8,8,5,8,8,8,8,8,8,5,8,8,8,0
500882010,1,2,,1,1,1,5,1,2,,1,1,1,1,1,2,,1,1,1,1,0
500890010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
500895010,15,12,12,16,16,12,12,7,8,8,8,8,8,8,7,8,8,8,8,8,8,0
500895020,12,12,15,16,16,16,16,8,8,7,8,8,8,8,8,4,7,8,8,8,8,0
500912010,15,,16,14,13,,,7,,8,6,5,,,7,,8,6,5,,,0
500918010,2,2,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,0
500920020,2,12,10,12,2,6,2,2,8,6,8,2,2,2,2,8,2,4,2,2,2,0
500927010,,5,10,1,2,,1,,1,6,1,2,,1,,1,2,1,2,,1,0
